 1,      100,   7.76,   2.88
 1,      200,   7.76,   3.65
 1,      400,   7.76,   3.63
 1,      800,   7.76,   3.65
 1,     1000,   7.76,   3.61
 1,     2000,   7.80,   3.63
 1,     4000,   7.46,   3.69
 1,     8000,   4.00,   3.69
 2,      100,   7.76,   7.29
 2,      200,   7.76,   7.21
 2,      400,   7.76,   7.21
 2,      800,   7.76,   7.25
 2,     1000,   7.76,   7.22
 2,     2000,   7.77,   7.21
 2,     4000,   7.61,   7.28
 2,     8000,   7.63,   7.30
 4,      100,   7.76,  11.79
 4,      200,   7.76,  10.96
 4,      400,   7.76,  11.29
 4,      800,   7.76,  14.53
 4,     1000,   7.76,  14.30
 4,     2000,   7.76,  14.32
 4,     4000,   7.78,  14.58
 4,     8000,   7.44,  14.63
 8,      100,   7.76,  21.75
 8,      200,   7.76,  21.11
 8,      400,   7.76,  23.80
 8,      800,   7.76,  23.97
 8,     1000,   7.76,  22.09
 8,     2000,   7.76,  23.29
 8,     4000,   7.77,  25.74
 8,     8000,   7.56,  26.00
