2022,  1,   3.71,  24.77,  35.15,  6,  3
2022,  2,   5.57,  17.73,  39.95,  7,  3
2022,  3,   8.28,  29.92,  35.90,  8,  3
2022,  4,  12.52,  37.58,  17.78,  9,  3
2022,  5,  18.81,  30.82,   0.00,  8,  3
2022,  6,  22.86,  29.16,   0.00,  7,  3
2022,  7,  25.72,  20.05,   0.00,  6,  3
2022,  8,  26.39,  11.58,   0.00,  5,  3
2022,  9,  24.05,   5.48,   0.00,  3,  2
2022, 10,  17.90,   7.78,   0.00,  1,  1
2022, 11,  13.48,   0.00,   0.00,  0,  0
2022, 12,   8.42,   4.51,   6.98,  0,  1
2023,  1,   5.85,  18.39,  26.84,  0,  0
2023,  2,   4.52,  26.59,  49.65,  1,  1
2023,  3,   8.65,  32.21,  59.10,  1,  0
2023,  4,  13.60,  36.19,  57.82,  2,  1
2023,  5,  18.53,  37.31,  52.77,  3,  2
2023,  6,  22.43,  24.27,  45.15,  3,  1
2023,  7,  27.16,  21.82,  37.53,  4,  2
2023,  8,  26.51,  10.13,  27.37,  5,  3
2023,  9,  24.31,   7.71,  14.67,  5,  2
2023, 10,  18.72,   4.27,   1.99,  5,  3
2023, 11,  12.97,   7.97,   0.00,  3,  2
2023, 12,   7.97,   4.64,   0.22,  1,  1
2024,  1,   5.37,  16.35,  17.26,  0,  0
2024,  2,   5.86,  25.79,  38.68,  1,  1
2024,  3,   8.28,  29.18,  50.01,  1,  0
2024,  4,  12.63,  34.32,  49.77,  2,  1
2024,  5,  18.31,  37.04,  44.73,  3,  2
2024,  6,  23.15,  25.77,  37.11,  3,  1
2024,  7,  27.35,  21.52,  29.49,  4,  2
2024,  8,  25.74,   9.52,  19.33,  5,  3
2024,  9,  23.03,   7.98,   6.63,  5,  2
2024, 10,  18.27,   7.84,   0.00,  4,  3
2024, 11,  12.31,   3.07,   0.00,  2,  2
2024, 12,   7.49,   7.13,   5.02,  0,  1
2025,  1,   3.73,  15.63,  24.42,  0,  0
2025,  2,   5.24,  23.15,  46.64,  1,  1
2025,  3,   7.87,  28.23,  59.55,  1,  0
2025,  4,  12.91,  32.10,  59.10,  2,  1
2025,  5,  18.86,  30.30,  54.05,  3,  2
2025,  6,  23.65,  32.92,  46.43,  3,  1
2025,  7,  26.16,  25.49,  38.81,  4,  2
2025,  8,  26.36,  17.51,  28.65,  5,  3
2025,  9,  23.38,   3.90,  15.95,  5,  2
2025, 10,  18.01,   6.05,   3.28,  6,  3
2025, 11,  13.76,   2.13,   0.00,  5,  3
2025, 12,   8.13,   3.91,   0.00,  3,  2
2026,  1,   5.30,  13.04,   9.99,  1,  1
2026,  2,   4.59,  21.80,  29.84,  1,  0
2026,  3,   8.56,  29.09,  40.23,  2,  1
2026,  4,  12.10,  32.92,  38.29,  3,  2
2026,  5,  17.84,  35.38,  30.73,  3,  1
2026,  6,  23.98,  30.78,  23.11,  4,  2
2026,  7,  26.85,  17.72,  12.95,  5,  3
2026,  8,  26.86,  15.29,   0.25,  5,  2
2026,  9,  23.94,   6.62,   0.00,  4,  3
2026, 10,  18.19,   3.34,   0.00,  2,  2
2026, 11,  12.56,   5.83,   0.00,  0,  1
2026, 12,   6.85,  11.72,  14.17,  0,  0
2027,  1,   3.88,  14.53,  33.01,  1,  1
2027,  2,   4.22,  22.07,  52.90,  1,  0
2027,  3,   7.43,  30.69,  66.74,  2,  1
2027,  4,  12.14,  35.14,  64.56,  3,  2
2027,  5,  18.58,  34.56,  56.97,  3,  1
2027,  6,  24.34,  32.71,  49.35,  4,  2
2027,  7,  27.08,  17.69,  39.19,  5,  3
2027,  8,  27.38,  10.10,  26.49,  5,  2
2027,  9,  22.98,   7.20,  13.79,  6,  3
2027, 10,  18.80,   2.60,   0.00,  5,  3
2027, 11,  12.33,   5.24,   0.00,  3,  2
2027, 12,   8.50,   2.92,   0.00,  1,  1
